source,relation,destination
curves,BURNS,101-900
p90x,BURNS,501-900
p90x,BURNS,501-600
p90x,BURNS,101-1200
p90x,BURNS,501-700
p90x,BURNS,501-550
p90x,BURNS,101-900
body balance,BURNS,501-900
body balance,BURNS,501-600
body balance,BURNS,101-1200
body balance,BURNS,501-700
body balance,BURNS,501-550
body balance,BURNS,101-900
body combat,BURNS,501-900
body combat,BURNS,501-600
body combat,BURNS,101-1200
body combat,BURNS,501-700
body combat,BURNS,501-550
body combat,BURNS,101-900
body pump,BURNS,501-900
body pump,BURNS,501-600
body pump,BURNS,101-1200
body pump,BURNS,501-700
body pump,BURNS,501-550
body pump,BURNS,101-900
rpm,BURNS,501-900
rpm,BURNS,501-600
rpm,BURNS,101-1200
rpm,BURNS,501-700
rpm,BURNS,501-550
rpm,BURNS,101-900
taekwondo,BURNS,501-900
taekwondo,BURNS,501-600
taekwondo,BURNS,101-1200
taekwondo,BURNS,501-700
taekwondo,BURNS,501-550
taekwondo,BURNS,101-900
cardio,BURNS,501-900
cardio,BURNS,501-600
cardio,BURNS,101-1200
cardio,BURNS,501-700
cardio,BURNS,501-550
cardio,BURNS,101-900
cross training,BURNS,501-900
cross training,BURNS,501-600
cross training,BURNS,101-1200
cross training,BURNS,501-700
cross training,BURNS,501-550
cross training,BURNS,101-900
body attack,BURNS,501-900
body attack,BURNS,501-600
body attack,BURNS,101-1200
body attack,BURNS,501-700
body attack,BURNS,501-550
body attack,BURNS,101-900
kickboxing,BURNS,501-900
kickboxing,BURNS,501-600
kickboxing,BURNS,101-1200
kickboxing,BURNS,501-700
kickboxing,BURNS,501-550
kickboxing,BURNS,101-900
rowing,BURNS,501-900
rowing,BURNS,501-600
rowing,BURNS,101-1200
rowing,BURNS,501-700
rowing,BURNS,551-600
rowing,BURNS,101-900
running (jogging) - 5/mph,BURNS,501-900
running (jogging) - 5/mph,BURNS,501-600
running (jogging) - 5/mph,BURNS,101-1200
running (jogging) - 5/mph,BURNS,501-700
running (jogging) - 5/mph,BURNS,551-600
running (jogging) - 5/mph,BURNS,101-900
stair climber (stepper),BURNS,501-900
stair climber (stepper),BURNS,501-600
stair climber (stepper),BURNS,101-1200
stair climber (stepper),BURNS,501-700
stair climber (stepper),BURNS,551-600
stair climber (stepper),BURNS,101-900
soccer,BURNS,501-900
soccer,BURNS,501-600
soccer,BURNS,101-1200
soccer,BURNS,501-700
soccer,BURNS,551-600
soccer,BURNS,101-900
spinning,BURNS,501-900
spinning,BURNS,501-600
spinning,BURNS,101-1200
spinning,BURNS,501-700
spinning,BURNS,551-600
spinning,BURNS,101-900
squash or handball,BURNS,501-900
squash or handball,BURNS,501-600
squash or handball,BURNS,101-1200
squash or handball,BURNS,501-700
squash or handball,BURNS,551-600
squash or handball,BURNS,101-900
squats (legs),BURNS,501-900
squats (legs),BURNS,501-600
squats (legs),BURNS,101-1200
squats (legs),BURNS,501-700
squats (legs),BURNS,551-600
squats (legs),BURNS,101-900
tennis,BURNS,501-900
tennis,BURNS,501-600
tennis,BURNS,101-1200
tennis,BURNS,501-700
tennis,BURNS,551-600
tennis,BURNS,101-900
treadmill,BURNS,501-900
treadmill,BURNS,501-600
treadmill,BURNS,101-1200
treadmill,BURNS,501-700
treadmill,BURNS,551-600
treadmill,BURNS,101-900
vibrating platform machine,BURNS,501-900
vibrating platform machine,BURNS,501-600
vibrating platform machine,BURNS,101-1200
vibrating platform machine,BURNS,501-700
vibrating platform machine,BURNS,551-600
vibrating platform machine,BURNS,101-900
weight training (bodybuilding),BURNS,501-900
weight training (bodybuilding),BURNS,501-600
weight training (bodybuilding),BURNS,101-1200
weight training (bodybuilding),BURNS,501-700
weight training (bodybuilding),BURNS,551-600
weight training (bodybuilding),BURNS,101-900
skiing (downhill),BURNS,501-900
skiing (downhill),BURNS,501-600
skiing (downhill),BURNS,101-1200
skiing (downhill),BURNS,501-700
skiing (downhill),BURNS,551-600
skiing (downhill),BURNS,101-900
rock climbing,BURNS,501-900
rock climbing,BURNS,501-600
rock climbing,BURNS,101-1200
rock climbing,BURNS,501-700
rock climbing,BURNS,551-600
rock climbing,BURNS,101-900
mountain biking,BURNS,501-900
mountain biking,BURNS,501-600
mountain biking,BURNS,101-1200
mountain biking,BURNS,501-700
mountain biking,BURNS,551-600
mountain biking,BURNS,101-900
race,BURNS,501-900
race,BURNS,501-600
race,BURNS,101-1200
race,BURNS,501-700
race,BURNS,551-600
race,BURNS,101-900
air climber,BURNS,501-900
air climber,BURNS,501-600
air climber,BURNS,101-1200
air climber,BURNS,501-700
air climber,BURNS,551-600
air climber,BURNS,101-900
arc trainer,BURNS,501-900
arc trainer,BURNS,501-600
arc trainer,BURNS,101-1200
arc trainer,BURNS,501-700
arc trainer,BURNS,551-600
arc trainer,BURNS,101-900
bicycling (moderate) - 13/mph,BURNS,501-900
bicycling (moderate) - 13/mph,BURNS,501-600
bicycling (moderate) - 13/mph,BURNS,101-1200
bicycling (moderate) - 13/mph,BURNS,501-700
bicycling (moderate) - 13/mph,BURNS,551-600
bicycling (moderate) - 13/mph,BURNS,101-900
bike machine (cycling),BURNS,501-900
bike machine (cycling),BURNS,501-600
bike machine (cycling),BURNS,101-1200
bike machine (cycling),BURNS,501-700
bike machine (cycling),BURNS,551-600
bike machine (cycling),BURNS,101-900
"calisthenics (heavy, e.g. pushups)",BURNS,501-900
"calisthenics (heavy, e.g. pushups)",BURNS,501-600
"calisthenics (heavy, e.g. pushups)",BURNS,101-1200
"calisthenics (heavy, e.g. pushups)",BURNS,501-700
"calisthenics (heavy, e.g. pushups)",BURNS,551-600
"calisthenics (heavy, e.g. pushups)",BURNS,101-900
elliptical,BURNS,501-900
elliptical,BURNS,501-600
elliptical,BURNS,101-1200
elliptical,BURNS,501-700
elliptical,BURNS,551-600
elliptical,BURNS,101-900
endurance sport,BURNS,501-900
endurance sport,BURNS,501-600
endurance sport,BURNS,101-1200
endurance sport,BURNS,501-700
endurance sport,BURNS,551-600
endurance sport,BURNS,101-900
exercise machine,BURNS,501-900
exercise machine,BURNS,501-600
exercise machine,BURNS,101-1200
exercise machine,BURNS,501-700
exercise machine,BURNS,551-600
exercise machine,BURNS,101-900
exercise machine (moderate),BURNS,501-900
exercise machine (moderate),BURNS,501-600
exercise machine (moderate),BURNS,101-1200
exercise machine (moderate),BURNS,501-700
exercise machine (moderate),BURNS,551-600
exercise machine (moderate),BURNS,101-900
football,BURNS,501-900
football,BURNS,501-600
football,BURNS,101-1200
football,BURNS,501-700
football,BURNS,551-600
football,BURNS,101-900
